score,document_id
14,3-9176804
12,3-7147360
10,3-7151819
10,3-8859296
8,3-10380808
8,3-5516747
8,3-6292092
8,3-6410093
8,3-6462399
8,3-6464440
8,3-6465222
8,3-6465909
8,3-7314451
8,3-8303814
8,3-8656302
8,3-8779669
8,3-9035964
6,3-5715064
6,3-5722704
6,3-5871770
6,3-6130471
6,3-6354624
6,3-6393155
6,3-6456882
6,3-6468283
6,3-6866175
6,3-7505596
6,3-7939523
6,3-8060054
6,3-8241894
6,3-8439307
6,3-8884275
6,3-8911297
6,3-9456732
6,3-9645166
4,3-10309502
4,3-5344518
4,3-5344583
4,3-5344598
4,3-5345809
4,3-5427040
4,3-5507536
4,3-5654924
4,3-5676192
4,3-5872412
4,3-6357781
4,3-7913417
4,3-9410056
4,3-9557029
4,3-9706476
2,3-10122960
2,3-10226710
2,3-10312355
2,3-10350921
2,3-10453109
2,3-10482715
2,3-5329683
2,3-5344542
2,3-5345291
2,3-5345808
2,3-5346517
2,3-5526959
2,3-5655913
2,3-5722680
2,3-5729036
2,3-5889392
2,3-5890264
2,3-6150019
2,3-6157523
2,3-6186789
2,3-6199206
2,3-6273090
2,3-6274408
2,3-6299868
2,3-6354016
2,3-6354359
2,3-6355818
2,3-6356108
2,3-6368750
2,3-6387612
2,3-6400638
2,3-6401165
2,3-6449423
2,3-6462922
2,3-6639256
2,3-6769375
2,3-7147080
2,3-7149379
2,3-7256891
2,3-7861363
2,3-7871337
2,3-7935068
2,3-7938622
2,3-7939346
2,3-7939471
2,3-7943932
2,3-7948304
2,3-7979022
2,3-8081985
2,3-8444654
2,3-8595651
2,3-8652020
2,3-8660423
2,3-8798084
2,3-8979762
2,3-9036382
2,3-9176741
2,3-9198794
2,3-9254025
2,3-9256326
2,3-9410372
2,3-9435380
2,3-9435636
2,3-9555966
