score,document_id
20,3-9904838
16,3-5509630
16,3-6275362
16,3-6995270
14,20-211886
14,3-6152600
14,3-8033877
14,3-8392072
12,3-5094186
12,3-5099034
12,3-5236274
12,3-5306060
12,3-6404011
12,3-7038530
12,3-7666872
10,3-10399283
10,3-10417659
10,3-5383837
10,3-5405137
10,3-5410953
10,3-5516832
10,3-5603424
10,3-5614563
10,3-5696361
10,3-5773839
10,3-5782080
10,3-5807479
10,3-5854983
10,3-6455619
10,3-8151910
10,3-8721473
10,3-8792552
10,3-8939978
10,3-9638424
8,3-5272356
8,3-5411516
8,3-5467935
8,3-5492799
8,3-5613380
8,3-5644775
8,3-5714641
8,3-5755130
8,3-5806299
8,3-5832245
8,3-5916242
8,3-5918903
8,3-5990656
8,3-6119570
8,3-6569848
8,3-6571041
8,3-7024475
8,3-7247248
8,3-7252948
8,3-8196257
6,3-5064133
6,3-5091779
6,3-5093592
6,3-5094179
6,3-5222538
6,3-5263539
6,3-5276721
6,3-5277288
6,3-5284428
6,3-5284434
6,3-5305833
6,3-5327091
6,3-5353787
6,3-5353798
6,3-5372719
6,3-5413889
6,3-5487969
6,3-5494757
6,3-5501531
6,3-5514082
6,3-5514677
6,3-5515538
6,3-5524862
6,3-5546820
6,3-5574861
6,3-5576917
6,3-5621296
6,3-5629420
6,3-5632949
6,3-5633644
6,3-5637606
6,3-5647061
6,3-5647747
6,3-5649726
6,3-5676951
6,3-5713480
6,3-5721374
6,3-5740454
6,3-5740848
6,3-5767721
6,3-5771464
6,3-5793836
6,3-5794425
6,3-5811046
6,3-5811118
6,3-5811256
6,3-5811452
6,3-5813867
6,3-5833699
6,3-5836525
6,3-5836923
6,3-5862165
6,3-5865900
6,3-5880791
6,3-5882958
6,3-5946195
6,3-5994789
6,3-6124852
6,3-6127953
6,3-6130368
6,3-6130763
6,3-6134098
6,3-6142796
6,3-6151364
6,3-6151565
6,3-6161904
6,3-6273603
6,3-6281911
6,3-6391067
6,3-6615303
6,3-6776077
6,3-6812632
6,3-6993968
6,3-7083304
6,3-7120433
6,3-7153000
6,3-7268910
6,3-7645558
6,3-7658258
6,3-7734660
6,3-7795865
6,3-7796296
6,3-7796658
6,3-7854929
6,3-8060054
6,3-8199189
6,3-8201058
6,3-8492018
6,3-9179537
4,20-102974
4,20-274938
4,3-10081809
4,3-5059289
4,3-5069477
4,3-5072757
4,3-5080525
4,3-5094272
4,3-5118589
4,3-5131365
4,3-5144971
4,3-5145615
4,3-5223849
4,3-5244616
4,3-5246874
4,3-5249298
4,3-5265794
4,3-5267566
4,3-5272190
4,3-5272370
4,3-5277595
4,3-5288801
4,3-5305712
4,3-5305730
4,3-5308856
4,3-5308865
4,3-5309291
4,3-5313324
4,3-5315623
4,3-5315624
4,3-5318669
4,3-5322273
4,3-5324978
4,3-5328408
4,3-5328930
4,3-5329519
4,3-5330837
4,3-5337592
4,3-5338093
4,3-5343470
4,3-5344646
4,3-5345857
4,3-5411374
4,3-5422899
4,3-5441633
4,3-5479595
4,3-5487562
4,3-5487890
4,3-5492661
4,3-5494382
4,3-5504017
4,3-5512616
4,3-5514183
4,3-5514692
4,3-5524383
4,3-5542166
4,3-5544894
4,3-5544902
4,3-5544910
4,3-5570924
4,3-5571025
4,3-5571138
4,3-5572833
4,3-5585428
4,3-5593628
4,3-5597444
4,3-5599592
4,3-5620277
4,3-5629308
4,3-5630083
4,3-5642663
4,3-5646031
4,3-5649179
4,3-5653788
4,3-5662329
4,3-5663732
4,3-5666525
4,3-5670589
4,3-5672194
4,3-5672776
4,3-5673035
4,3-5676436
4,3-5683625
4,3-5685516
4,3-5687868
4,3-5688290
4,3-5688297
4,3-5709363
4,3-5715013
4,3-5732337
4,3-5733146
4,3-5734231
4,3-5734701
4,3-5741680
4,3-5751518
4,3-5784401
4,3-5785010
4,3-5788443
4,3-5796591
4,3-5796955
4,3-5797244
4,3-5797601
4,3-5798023
4,3-5800448
4,3-5800976
4,3-5801046
4,3-5801305
4,3-5802013
4,3-5802181
4,3-5802603
