score,document_id
14,3-5781990
12,3-5759502
12,3-6103324
10,3-5239303
10,3-5379057
10,3-5824079
10,3-6923021
10,3-7222327
8,3-5097797
8,3-5620468
8,3-5724278
8,3-5725333
8,3-5728361
8,3-5778118
8,3-5850888
8,3-5877549
8,3-5877859
8,3-5922080
8,3-5922973
8,3-6123340
8,3-6123578
8,3-7098568
8,3-7234254
6,3-5215544
6,3-5216175
6,3-5218559
6,3-5224767
6,3-5242831
6,3-5243431
6,3-5258092
6,3-5259339
6,3-5265712
6,3-5273971
6,3-5438476
6,3-5597068
6,3-5683946
6,3-5723749
6,3-5727737
6,3-5728138
6,3-5734350
6,3-5736182
6,3-5737108
6,3-5755131
6,3-5759000
6,3-5759002
6,3-5778057
6,3-5802377
6,3-5814050
6,3-5838977
6,3-5842190
6,3-6116033
6,3-6120866
6,3-6122287
6,3-6123595
6,3-6123828
6,3-6124768
6,3-6124877
6,3-6131100
6,3-6152207
6,3-6332969
6,3-6352989
6,3-6464338
6,3-6484529
6,3-6912935
6,3-6950642
6,3-7154923
6,3-7223121
6,3-7225554
6,3-7234099
6,3-7261634
6,3-8153691
4,3-5066479
4,3-5215179
4,3-5216384
4,3-5216540
4,3-5219502
4,3-5222171
4,3-5223578
4,3-5223674
4,3-5224402
4,3-5224665
4,3-5225559
4,3-5225794
4,3-5238128
4,3-5238589
4,3-5239251
4,3-5242856
4,3-5249398
4,3-5249827
4,3-5251053
4,3-5251730
4,3-5251751
4,3-5251976
4,3-5252133
4,3-5252148
4,3-5252150
4,3-5252359
4,3-5253870
4,3-5254306
4,3-5257420
4,3-5257803
4,3-5260484
4,3-5262084
4,3-5262462
4,3-5265835
4,3-5266561
4,3-5266688
4,3-5266715
4,3-5272947
4,3-5286124
4,3-5286170
4,3-5286583
4,3-5324857
4,3-5382760
4,3-5422981
4,3-5458023
4,3-5510149
4,3-5534728
4,3-5597067
4,3-5632126
4,3-5710516
4,3-5715352
4,3-5715370
4,3-5718063
4,3-5718897
4,3-5719139
4,3-5723685
4,3-5725070
4,3-5726955
4,3-5727225
4,3-5728187
4,3-5728360
4,3-5732974
4,3-5736271
4,3-5750878
4,3-5752810
4,3-5755163
4,3-5757012
4,3-5757034
4,3-5760099
4,3-5762136
4,3-5762835
4,3-5763382
4,3-5764437
4,3-5764461
4,3-5771339
4,3-5778243
4,3-5778549
4,3-5779995
4,3-5781666
4,3-5784897
4,3-5785044
4,3-5785400
4,3-5788056
4,3-5788112
4,3-5788185
4,3-5790573
4,3-5791819
4,3-5794699
4,3-5800283
4,3-5800311
4,3-5800575
4,3-5801002
4,3-5801453
4,3-5801796
4,3-5802844
4,3-5802846
4,3-5805129
4,3-5805189
4,3-5805853
4,3-5810441
4,3-5813487
4,3-5814132
4,3-5814623
4,3-5817676
4,3-5818278
4,3-5818574
4,3-5823082
4,3-5823771
4,3-5823911
4,3-5824355
4,3-5824361
4,3-5826488
4,3-5826539
4,3-5827024
4,3-5829410
4,3-5829412
4,3-5829530
4,3-5829770
4,3-5830024
4,3-5832758
4,3-5837519
4,3-5838460
4,3-5838974
4,3-5841068
4,3-5842291
4,3-5844303
4,3-5845110
4,3-5845148
4,3-5847540
4,3-5847715
4,3-5848021
4,3-5850900
4,3-5851928
4,3-5852625
4,3-6112025
4,3-6112831
4,3-6113513
4,3-6114136
4,3-6115461
4,3-6115619
4,3-6115991
4,3-6116078
4,3-6116272
4,3-6121667
4,3-6121979
4,3-6123187
4,3-6123249
4,3-6123374
4,3-6123755
4,3-6124960
4,3-6125463
4,3-6127260
4,3-6159209
4,3-6188508
4,3-7231300
4,3-7243623
4,3-7262585
4,3-7874623
2,20-31223
2,20-31575
2,3-5069778
2,3-5089900
2,3-5108588
2,3-5119578
2,3-5121947
2,3-5133728
2,3-5134702
2,3-5159753
2,3-5166463
2,3-5166571
2,3-5170544
2,3-5215223
2,3-5215492
2,3-5216532
2,3-5218700
2,3-5223945
2,3-5224833
2,3-5225016
2,3-5225731
2,3-5225806
2,3-5227552
2,3-5238381
2,3-5238596
2,3-5238777
2,3-5239155
2,3-5239187
2,3-5239255
2,3-5239678
2,3-5243707
2,3-5243777
2,3-5244652
2,3-5245586
2,3-5245599
2,3-5245720
2,3-5246498
2,3-5248998
2,3-5251049
2,3-5251755
2,3-5251772
2,3-5251788
2,3-5251848
2,3-5252136
2,3-5252190
2,3-5253941
2,3-5254215
2,3-5254298
2,3-5255466
2,3-5256752
2,3-5256777
2,3-5257481
2,3-5258051
2,3-5258065
2,3-5258074
2,3-5258603
2,3-5260642
2,3-5261458
2,3-5263145
2,3-5264196
2,3-5264947
2,3-5265018
2,3-5265019
2,3-5265824
2,3-5266696
2,3-5267051
2,3-5274024
2,3-5286586
2,3-5287317
2,3-5310793
2,3-5318342
2,3-5331013
2,3-5337366
2,3-5342043
2,3-5346650
2,3-5379011
2,3-5379741
2,3-5402829
2,3-5416712
2,3-5458042
2,3-5458248
2,3-5530794
2,3-5597058
2,3-5661357
