score,document_id
12,3-5283849
8,3-5060862
8,3-5283851
6,3-5161221
6,3-5283167
6,3-5283615
6,3-5619839
6,3-6129321
6,3-7114423
6,3-8271382
4,20-25162
4,3-5160170
4,3-5576191
4,3-5591214
4,3-9270398
2,3-10509211
2,3-5063930
2,3-5120677
2,3-5121484
2,3-5126159
2,3-5141740
2,3-5158961
2,3-5158966
2,3-5158992
2,3-5160182
2,3-5160874
2,3-5161157
2,3-5161929
2,3-5164408
2,3-5164417
2,3-5219815
2,3-5225647
2,3-5225882
2,3-5282942
2,3-5313006
2,3-5345841
2,3-5585661
2,3-5591198
2,3-5591356
2,3-5654954
2,3-5744167
2,3-5778707
2,3-5924757
2,3-5974169
2,3-5984235
2,3-6124495
2,3-6157398
2,3-6162176
2,3-6163295
2,3-7728013
2,3-8216235
2,3-8259116
