score,document_id
16,3-9264566
12,20-260115
12,3-10360775
12,3-10421081
12,3-8428979
10,20-260117
10,3-10260993
10,3-10328436
10,3-10351808
10,3-5346472
10,3-7948258
10,3-8352304
10,3-9384922
10,3-9386669
10,3-9500367
8,20-217622
8,3-10173777
8,3-10193805
8,3-10238292
8,3-10256612
8,3-5068923
8,3-5350915
8,3-6299910
8,3-6814268
8,3-7135987
8,3-7304376
8,3-8657515
8,3-9036571
8,3-9266009
8,3-9663937
6,20-234585
6,20-254694
6,20-260137
6,3-10184569
6,3-10260255
6,3-10262360
6,3-10263222
6,3-10333895
6,3-10335387
6,3-10340614
6,3-10375693
6,3-10387542
6,3-10413135
6,3-10436969
6,3-10568185
6,3-5068751
6,3-5355733
6,3-5357390
6,3-5364846
6,3-5365744
6,3-5365911
6,3-5442222
6,3-5905140
6,3-6400809
6,3-6704246
6,3-7135316
6,3-7303705
6,3-7611766
6,3-7823448
6,3-8303985
6,3-8305013
6,3-8536775
6,3-8537161
6,3-8545869
6,3-8603866
6,3-9041056
6,3-9044793
6,3-9192150
6,3-9194126
6,3-9220624
6,3-9386738
6,3-9435964
6,3-9536485
6,3-9983746
6,3-9984332
4,20-254636
4,3-10238152
4,3-10372360
4,3-5053276
4,3-5056462
4,3-5060384
4,3-5060398
4,3-5068581
4,3-5069241
4,3-5299759
4,3-5351182
4,3-5351707
4,3-5351940
4,3-5356658
4,3-5429265
4,3-5432061
4,3-5455794
4,3-5694739
4,3-6534610
4,3-6573453
4,3-6660552
4,3-6706051
4,3-6796954
4,3-6872295
4,3-7135431
4,3-7136370
4,3-7331385
4,3-7355300
4,3-7467769
4,3-7930556
4,3-8060054
4,3-8119648
4,3-9387715
4,3-9420759
4,3-9663338
4,3-9663454
4,3-9663534
4,3-9663984
4,3-9665406
4,3-9674295
4,3-9983614
4,3-9986089
4,3-9986462
4,3-9998682
2,20-141393
2,20-156761
2,20-164046
2,20-165285
2,20-175354
2,20-216345
2,20-238473
2,20-254738
2,20-254985
2,20-255162
2,20-255313
2,20-256035
2,20-257449
2,20-265214
2,20-266122
2,20-279956
2,3-10011485
2,3-10135558
2,3-10270187
2,3-10328451
2,3-10335161
2,3-10343087
2,3-10349841
2,3-10353609
2,3-10353794
2,3-10354597
2,3-10364015
2,3-10364128
2,3-10372340
2,3-10387896
2,3-10400863
2,3-10413133
2,3-10441141
2,3-10512500
2,3-10518288
2,3-10518539
2,3-10521680
2,3-10531427
2,3-10546538
2,3-10565402
2,3-10568808
2,3-5052587
2,3-5052970
2,3-5054820
2,3-5057503
2,3-5060963
2,3-5062577
2,3-5063120
2,3-5066141
2,3-5344535
2,3-5345304
2,3-5345833
2,3-5345987
2,3-5348392
2,3-5348502
2,3-5350390
2,3-5351479
2,3-5356100
2,3-5359893
2,3-5365190
2,3-5370077
2,3-5373404
2,3-5381128
2,3-5392509
2,3-5414090
2,3-5422774
2,3-5423845
2,3-5438762
2,3-5442580
2,3-5443519
2,3-5464547
2,3-5673059
2,3-6074156
2,3-6355118
2,3-6355517
2,3-6432820
2,3-6465592
2,3-6506897
2,3-6526727
2,3-6529084
2,3-6695851
2,3-6783952
2,3-6789709
2,3-6825470
2,3-6830525
2,3-6836231
2,3-6838192
2,3-6847634
2,3-6862875
2,3-6872283
2,3-6883089
2,3-6919613
2,3-6919653
2,3-6920206
2,3-7099476
2,3-7137399
2,3-7165844
2,3-7169221
2,3-7206142
2,3-7353191
2,3-7657473
2,3-7672694
2,3-7889259
2,3-7903900
2,3-7918275
2,3-7921520
2,3-7921624
2,3-7938658
2,3-7939105
2,3-7939190
2,3-7939494
2,3-7939507
2,3-7941257
2,3-7947102
2,3-7955583
2,3-7961037
2,3-7970478
2,3-7993025
2,3-8393141
2,3-8429398
2,3-8637947
2,3-8641896
2,3-8838939
2,3-8907407
2,3-9080019
2,3-9137824
2,3-9245495
2,3-9286756
2,3-9387223
2,3-9387300
2,3-9417116
2,3-9422385
2,3-9434193
2,3-9437958
2,3-9458387
2,3-9477782
2,3-9501438
2,3-9662223
2,3-9662577
2,3-9663168
2,3-9663299
2,3-9663464
2,3-9663476
2,3-9664103
2,3-9664184
2,3-9664400
2,3-9664454
2,3-9665060
2,3-9665362
2,3-9665450
2,3-9665452
2,3-9666223
2,3-9666474
2,3-9666816
2,3-9667172
2,3-9667602
2,3-9670191
2,3-9676581
2,3-9711720
2,3-9723956
2,3-9733245
2,3-9733919
2,3-9774409
2,3-9816457
2,3-9847837
2,3-9943293
2,3-9958866
2,3-9983522
2,3-9984103
2,3-9988476
2,3-9996681
2,3-9997355
