score,document_id
14,3-8366766
12,3-8842124
12,3-9360164
12,3-9424033
8,3-6880651
8,3-7851006
8,3-7964684
8,3-8064070
8,3-9304146
8,3-9353366
8,3-9386745
8,3-9387362
8,3-9388874
8,3-9394156
6,20-166144
6,3-7206189
6,3-7231949
6,3-8060054
6,3-8153701
6,3-8429851
6,3-8781378
6,3-9069579
6,3-9315750
6,3-9321408
6,3-9353644
6,3-9354291
6,3-9355188
6,3-9355520
6,3-9394473
6,3-9419631
6,3-9442530
6,3-9831099
4,20-112631
4,20-118665
4,20-211997
4,3-10011834
4,3-6939370
4,3-7239657
4,3-7379923
4,3-8838939
4,3-8845179
4,3-9300247
4,3-9317180
4,3-9353205
4,3-9391537
4,3-9411141
4,3-9429074
2,20-100600
2,20-102966
2,20-113021
2,20-123317
2,20-137908
2,20-167522
2,20-168452
2,20-181178
2,20-197543
2,20-212841
2,20-90497
2,3-10059012
2,3-10060994
2,3-10188236
2,3-10207672
2,3-10217957
2,3-10233101
2,3-10289725
2,3-10383760
2,3-10432214
2,3-10527961
2,3-10558833
2,3-5132756
2,3-5134762
2,3-5167446
2,3-5451445
2,3-5787764
2,3-5901817
2,3-5902901
2,3-6007212
2,3-6139679
2,3-6321215
2,3-6515127
2,3-7191856
2,3-7234594
2,3-7256809
2,3-7262174
2,3-7379567
2,3-7860312
2,3-7866208
2,3-7939494
2,3-7939747
2,3-7964955
2,3-8080019
2,3-8082734
2,3-8361805
2,3-8401551
2,3-8484619
2,3-8526682
2,3-8546833
2,3-8776873
2,3-8838404
2,3-8842368
2,3-8842614
2,3-8843248
2,3-8844963
2,3-8861066
2,3-8894260
2,3-8896060
2,3-8941851
2,3-8945412
2,3-9020691
2,3-9096720
2,3-9121467
2,3-9123565
2,3-9211461
2,3-9270044
2,3-9287880
2,3-9303297
2,3-9305175
2,3-9320362
2,3-9320671
2,3-9331550
2,3-9355887
2,3-9361113
2,3-9386350
2,3-9386439
2,3-9387231
2,3-9391693
2,3-9397411
2,3-9405800
2,3-9405971
2,3-9411474
2,3-9422077
2,3-9427071
2,3-9428984
2,3-9430579
2,3-9438142
2,3-9438356
2,3-9439392
2,3-9441546
2,3-9442077
2,3-9442269
2,3-9442341
2,3-9442359
2,3-9442509
2,3-9443319
2,3-9457076
2,3-9462006
2,3-9489418
2,3-9603569
2,3-9721659
2,3-9815003
2,3-9816457
2,3-9818289
2,3-9832953
2,3-9887091
2,3-9924399
