score,document_id
12,20-31705
10,3-5347732
8,3-6265029
6,3-7004028
4,3-10147269
4,3-6161106
4,3-7004507
4,3-7010367
4,3-7265366
4,3-8060054
4,3-9607303
4,3-9847135
2,20-117655
2,20-31698
2,20-95869
2,3-10078252
2,3-10157291
2,3-10461083
2,3-5086714
2,3-5086715
2,3-5304018
2,3-5345187
2,3-5545810
2,3-5547080
2,3-5643166
2,3-5759338
2,3-6082864
2,3-6441341
2,3-6507688
2,3-6640361
2,3-6927360
2,3-7004908
2,3-7131548
2,3-7535940
2,3-7635248
2,3-7780144
2,3-8183118
2,3-8183332
2,3-9367823
2,3-9379851
2,3-9383532
2,3-9484767
2,3-9558527
2,3-9568870
2,3-9602719
2,3-9620770
2,3-9621099
2,3-9659098
2,3-9666223
2,3-9667113
2,3-9667646
2,3-9847837
2,3-9848198
2,3-9895106
