score,document_id
16,20-32638
12,3-5781989
10,3-5836919
10,3-5852629
10,3-6417553
10,3-6622158
10,3-7488640
10,3-7665448
8,3-10312491
8,3-5064375
8,3-5072489
8,3-5314879
8,3-5499417
8,3-5722849
8,3-5767131
8,3-5772190
8,3-5848162
8,3-5887950
8,3-5905462
8,3-6117463
8,3-6593232
8,3-6957586
6,3-5242459
6,3-5262673
6,3-5272744
6,3-5274455
6,3-5282235
6,3-5318668
6,3-5319291
6,3-5334883
6,3-5419192
6,3-5478636
6,3-5499373
6,3-5503682
6,3-5531177
6,3-5547625
6,3-5569481
6,3-5593862
6,3-5636796
6,3-5662060
6,3-5718197
6,3-5723718
6,3-5723797
6,3-5733104
6,3-5735557
6,3-5754728
6,3-5769509
6,3-5772305
6,3-5784059
6,3-5800375
6,3-5801367
6,3-5802221
6,3-5811894
6,3-5823437
6,3-5826343
6,3-5829841
6,3-5832790
6,3-5838493
6,3-5845544
6,3-5851400
6,3-5860631
6,3-5875045
6,3-5897601
6,3-5913510
6,3-5954637
6,3-5970947
6,3-6043232
6,3-6119628
6,3-6120342
6,3-6123205
6,3-6123342
6,3-6123372
6,3-6124902
6,3-6125992
6,3-6154036
6,3-6505759
6,3-6673653
6,3-6882466
6,3-6883765
6,3-6943682
6,3-6957450
6,3-6959378
6,3-7930878
4,20-102580
4,20-30530
4,20-32636
4,20-44855
4,20-99118
4,3-5091458
4,3-5091672
4,3-5094844
4,3-5236993
4,3-5240469
4,3-5246182
4,3-5257451
4,3-5258070
4,3-5258200
4,3-5265809
4,3-5268371
4,3-5272805
4,3-5274140
4,3-5277284
4,3-5277739
4,3-5284269
4,3-5290315
4,3-5304611
4,3-5304997
4,3-5305263
4,3-5310024
4,3-5314799
4,3-5320300
4,3-5320663
4,3-5323658
4,3-5331602
4,3-5334239
4,3-5334446
4,3-5340302
4,3-5341165
4,3-5344484
4,3-5457285
4,3-5463612
4,3-5488267
4,3-5489281
4,3-5492658
4,3-5505639
4,3-5506719
4,3-5507316
4,3-5507960
4,3-5508740
4,3-5510375
4,3-5511122
4,3-5511790
4,3-5511792
4,3-5526373
4,3-5527191
4,3-5548398
4,3-5549936
4,3-5551543
4,3-5564729
4,3-5569236
4,3-5572096
4,3-5576019
4,3-5576280
4,3-5577400
4,3-5588707
4,3-5597460
4,3-5598594
4,3-5608049
4,3-5609035
4,3-5633573
4,3-5633576
4,3-5639523
4,3-5641741
4,3-5643792
4,3-5648391
4,3-5652033
4,3-5654066
4,3-5657157
4,3-5663776
4,3-5669691
4,3-5686335
4,3-5686461
4,3-5686711
4,3-5718443
4,3-5721084
4,3-5727265
4,3-5727706
4,3-5735364
4,3-5735481
4,3-5742056
4,3-5752251
4,3-5756246
4,3-5763420
4,3-5763947
4,3-5764176
4,3-5765172
4,3-5772130
4,3-5784578
4,3-5784583
4,3-5788090
4,3-5788446
4,3-5790898
4,3-5794567
4,3-5796645
4,3-5800204
4,3-5801091
4,3-5802009
4,3-5805931
4,3-5806038
4,3-5807641
4,3-5810762
4,3-5813526
4,3-5813855
4,3-5813867
4,3-5818064
4,3-5820609
4,3-5821652
4,3-5823048
4,3-5823890
4,3-5826162
4,3-5827109
4,3-5827170
4,3-5829389
4,3-5829545
4,3-5829958
4,3-5832153
4,3-5832256
4,3-5832837
4,3-5836744
4,3-5837115
4,3-5837203
4,3-5837902
4,3-5842528
4,3-5850823
4,3-5851142
4,3-5851205
4,3-5874706
4,3-5878625
4,3-5883089
4,3-5886214
4,3-5887893
4,3-5891472
4,3-5895165
4,3-5898004
4,3-5898765
4,3-5899455
4,3-5905592
4,3-5906251
4,3-5910026
4,3-5912771
4,3-5921204
4,3-5950502
4,3-5951401
4,3-5951440
4,3-5952718
4,3-5982975
4,3-5990650
4,3-6009035
4,3-6010318
4,3-6019970
4,3-6023393
4,3-6111843
4,3-6112520
4,3-6112813
4,3-6114845
4,3-6116035
4,3-6117345
4,3-6117406
4,3-6117492
4,3-6117946
4,3-6120854
4,3-6122942
4,3-6122948
4,3-6122955
4,3-6125187
4,3-6125308
4,3-6126449
4,3-6127021
4,3-6156931
4,3-6158914
4,3-6249073
4,3-6420512
4,3-6482692
4,3-6885773
4,3-6930412
4,3-7275151
4,3-9318205
2,20-119358
2,20-183428
2,20-30588
2,20-30606
2,20-31367
2,20-72536
2,20-94078
2,20-97928
2,3-10286031
2,3-10491378
2,3-5053235
2,3-5082528
2,3-5088654
2,3-5098192
2,3-5102221
2,3-5103002
2,3-5113407
2,3-5115509
2,3-5118020
2,3-5125560
2,3-5127281
2,3-5129418
2,3-5131365
2,3-5131453
2,3-5131578
2,3-5135797
2,3-5137838
2,3-5142410
2,3-5143297
2,3-5145878
2,3-5149567
2,3-5160016
2,3-5161569
2,3-5168327
2,3-5215387
2,3-5217811
2,3-5224861
2,3-5225399
2,3-5225882
2,3-5226065
2,3-5226401
2,3-5235667
2,3-5238596
2,3-5245120
2,3-5248345
2,3-5249824
2,3-5251623
2,3-5252348
2,3-5253961
2,3-5254292
2,3-5254973
2,3-5256748
2,3-5257453
2,3-5258057
2,3-5262506
2,3-5268290
2,3-5268321
2,3-5268385
2,3-5268643
2,3-5274024
2,3-5275818
2,3-5276777
2,3-5281863
2,3-5282937
2,3-5283815
2,3-5284265
2,3-5285970
2,3-5295545
2,3-5302588
2,3-5303791
2,3-5304544
2,3-5305903
2,3-5305913
2,3-5312710
2,3-5319934
2,3-5320293
2,3-5321136
2,3-5321165
2,3-5330467
2,3-5332712
2,3-5333424
2,3-5334359
2,3-5334383
2,3-5334428
2,3-5334438
2,3-5334503
2,3-5340283
2,3-5340307
2,3-5342107
2,3-5350973
2,3-5352238
2,3-5353565
2,3-5356350
2,3-5365599
2,3-5373667
2,3-5381995
2,3-5387254
2,3-5422278
2,3-5439445
2,3-5480236
2,3-5482882
2,3-5484334
2,3-5486190
2,3-5486880
2,3-5487131
2,3-5492608
2,3-5493872
2,3-5498519
2,3-5499511
2,3-5499521
2,3-5500324
2,3-5504813
2,3-5505214
2,3-5507181
2,3-5508767
2,3-5510847
2,3-5510948
2,3-5514527
2,3-5521399
2,3-5522348
2,3-5525888
2,3-5530275
2,3-5530384
2,3-5533640
2,3-5542451
2,3-5544253
2,3-5549260
2,3-5557089
2,3-5558572
2,3-5558936
2,3-5561656
2,3-5562930
2,3-5563162
2,3-5565593
2,3-5569238
2,3-5569368
2,3-5570003
2,3-5570872
2,3-5571128
2,3-5574099
2,3-5575916
2,3-5576728
2,3-5577414
2,3-5582269
2,3-5591122
2,3-5594317
2,3-5596666
2,3-5597427
2,3-5602728
2,3-5608948
2,3-5625034
2,3-5636682
2,3-5637029
2,3-5637493
2,3-5638156
2,3-5641085
2,3-5642953
2,3-5648234
2,3-5654265
2,3-5659255
2,3-5659360
2,3-5659928
2,3-5673104
2,3-5673557
2,3-5674054
2,3-5678467
2,3-5680679
2,3-5683103
2,3-5688200
2,3-5688587
2,3-5708325
2,3-5709036
2,3-5715464
2,3-5715477
2,3-5715864
2,3-5716421
2,3-5716422
2,3-5716677
2,3-5716684
2,3-5716686
2,3-5718883
2,3-5719697
2,3-5720456
2,3-5723749
2,3-5724271
2,3-5727280
2,3-5727411
2,3-5727420
2,3-5727761
2,3-5727847
2,3-5729629
2,3-5729631
2,3-5730567
2,3-5735739
2,3-5737810
2,3-5741130
2,3-5744300
2,3-5744307
2,3-5754773
2,3-5754996
2,3-5756792
2,3-5759460
2,3-5759672
2,3-5760135
2,3-5760162
2,3-5760367
2,3-5767110
2,3-5769810
2,3-5770053
2,3-5770118
2,3-5781666
2,3-5781897
2,3-5781991
2,3-5784888
2,3-5785379
2,3-5787144
2,3-5790673
2,3-5790820
2,3-5794639
2,3-5794947
2,3-5797594
2,3-5801055
2,3-5801363
2,3-5801884
2,3-5802783
2,3-5802937
2,3-5805022
2,3-5805639
2,3-5807900
2,3-5808198
2,3-5810961
2,3-5811301
2,3-5811377
2,3-5811405
2,3-5811996
2,3-5813202
2,3-5813822
2,3-5820576
2,3-5821448
2,3-5821572
2,3-5824407
2,3-5826907
2,3-5827119
2,3-5829374
2,3-5829465
2,3-5830018
2,3-5832400
2,3-5833348
2,3-5836872
2,3-5837040
2,3-5837264
2,3-5837399
2,3-5837473
2,3-5837524
2,3-5837840
2,3-5838532
2,3-5839263
2,3-5842341
2,3-5842443
2,3-5842562
2,3-5842669
2,3-5844902
2,3-5845108
2,3-5845169
2,3-5845253
2,3-5845690
2,3-5847936
2,3-5848174
2,3-5848783
2,3-5848788
2,3-5851595
2,3-5851623
2,3-5853263
2,3-5860704
2,3-5864702
2,3-5875777
2,3-5876252
2,3-5876877
2,3-5878346
2,3-5878628
2,3-5881145
2,3-5884405
2,3-5887131
2,3-5887907
2,3-5888338
2,3-5889563
2,3-5889778
2,3-5890155
2,3-5893993
2,3-5897486
2,3-5898074
2,3-5898102
2,3-5898372
2,3-5898753
2,3-5898954
2,3-5899566
2,3-5900960
2,3-5901008
2,3-5901791
2,3-5907044
2,3-5907081
2,3-5907155
2,3-5909815
2,3-5910332
2,3-5913538
2,3-5916210
2,3-5916490
2,3-5917502
2,3-5920445
2,3-5921225
2,3-5921226
2,3-5922208
2,3-5922353
2,3-5923556
2,3-5925050
2,3-5943393
2,3-5943916
2,3-5950203
2,3-5950221
2,3-5950303
2,3-5950377
2,3-5951386
2,3-5955717
2,3-5960092
2,3-5960638
2,3-5961501
2,3-5963120
2,3-5965716
2,3-5980280
2,3-5990676
2,3-5996152
2,3-6022129
2,3-6041575
2,3-6041779
2,3-6046692
2,3-6048331
2,3-6072888
2,3-6073667
2,3-6080332
2,3-6083470
2,3-6111761
2,3-6112623
2,3-6113230
2,3-6113287
2,3-6115450
2,3-6115454
2,3-6115536
2,3-6116326
2,3-6116624
2,3-6116625
2,3-6116974
2,3-6117120
2,3-6117660
2,3-6117790
2,3-6117882
2,3-6117959
2,3-6118342
2,3-6119004
2,3-6119154
2,3-6119593
2,3-6119616
2,3-6121374
2,3-6121796
2,3-6124501
2,3-6124580
2,3-6124843
2,3-6124864
2,3-6125175
2,3-6125236
2,3-6125314
2,3-6125947
2,3-6125973
2,3-6127644
2,3-6127675
2,3-6129754
2,3-6133197
2,3-6133201
2,3-6133237
2,3-6133425
2,3-6150841
2,3-6151219
2,3-6155586
2,3-6157712
2,3-6163718
2,3-6164064
2,3-6247064
2,3-6319912
2,3-6322365
2,3-6336590
2,3-6336785
2,3-6379440
2,3-6423882
2,3-6479440
2,3-6484049
2,3-6541226
2,3-6566717
2,3-6578029
2,3-6578159
2,3-6616390
2,3-6616822
2,3-6616998
2,3-6625708
2,3-6637700
2,3-6651039
2,3-6654256
2,3-6674531
2,3-6848562
2,3-6850597
2,3-6878591
2,3-6879561
2,3-6886012
2,3-6923521
2,3-6958026
2,3-6962425
2,3-6962615
2,3-6987271
2,3-7006291
2,3-7075943
2,3-7228129
2,3-7275007
2,3-7278848
2,3-7490149
2,3-7490523
2,3-7571835
2,3-7606376
2,3-7664961
2,3-7846271
2,3-7850219
2,3-7862573
2,3-7895666
2,3-7899432
2,3-7914014
2,3-8404812
2,3-8943553
2,3-9142444
2,3-9269950
2,3-9270540
2,3-9272731
2,3-9315132
2,3-9501530
2,3-9959216
2,3-9994890
