score,document_id
20,3-7189676
16,3-5443659
12,3-7940457
10,3-5064981
10,3-6688582
10,3-7938906
10,3-8255453
10,3-9442530
8,3-5453042
8,3-6180282
8,3-9386350
8,3-9386439
8,3-9386745
8,3-9387362
8,3-9394156
8,3-9879815
6,3-6150616
6,3-7613109
6,3-7644011
6,3-7883354
6,3-7974080
6,3-8149274
6,3-8437977
6,3-8987167
6,3-9360164
6,3-9361113
6,3-9388874
6,3-9441545
6,3-9824232
4,3-10135510
4,3-10171520
4,3-10442658
4,3-6687546
4,3-7498164
4,3-7679652
4,3-7761411
4,3-8060054
4,3-8096697
4,3-8273259
4,3-8378264
4,3-9300247
4,3-9304146
4,3-9317180
4,3-9391537
4,3-9391693
4,3-9411141
4,3-9411474
4,3-9424033
4,3-9429074
4,3-9442359
2,20-125308
2,20-212608
2,3-10218790
2,3-10353457
2,3-10368856
2,3-10379692
2,3-10518288
2,3-10518539
2,3-10542987
2,3-5057396
2,3-5060898
2,3-5064517
2,3-5065200
2,3-5330307
2,3-5344511
2,3-5344707
2,3-5344719
2,3-5345225
2,3-5534708
2,3-5570690
2,3-5571010
2,3-5571013
2,3-5631308
2,3-5639785
2,3-5880740
2,3-5880741
2,3-5886308
2,3-6350241
2,3-6354784
2,3-6570116
2,3-6612259
2,3-6692974
2,3-6775817
2,3-6808163
2,3-6936229
2,3-6963875
2,3-7016297
2,3-7080098
2,3-7084030
2,3-7185447
2,3-7232262
2,3-7244236
2,3-7305369
2,3-7371274
2,3-7371456
2,3-7412140
2,3-7447527
2,3-7633334
2,3-7657607
2,3-7671873
2,3-7932398
2,3-7938828
2,3-7939068
2,3-7940376
2,3-7941121
2,3-7941384
2,3-7944003
2,3-7944951
2,3-7960481
2,3-8022152
2,3-8114152
2,3-8146289
2,3-8151098
2,3-8152190
2,3-8160133
2,3-8179666
2,3-8208230
2,3-8255595
2,3-8276549
2,3-8277894
2,3-8296955
2,3-8381297
2,3-8424518
2,3-8728099
2,3-8780815
2,3-8892173
2,3-8985749
2,3-8987729
2,3-9041056
2,3-9052212
2,3-9121467
2,3-9123565
2,3-9147481
2,3-9216092
2,3-9285500
2,3-9302079
2,3-9305797
2,3-9309654
2,3-9320362
2,3-9320671
2,3-9321408
2,3-9331550
2,3-9353366
2,3-9353644
2,3-9355188
2,3-9355520
2,3-9355887
2,3-9367183
2,3-9382045
2,3-9387231
2,3-9397411
2,3-9405800
2,3-9405971
2,3-9419631
2,3-9427071
2,3-9428984
2,3-9430579
2,3-9438142
2,3-9438356
2,3-9439392
2,3-9440929
2,3-9442077
2,3-9442269
2,3-9442341
2,3-9442509
2,3-9443354
2,3-9457076
2,3-9500906
2,3-9501175
2,3-9524585
2,3-9558186
2,3-9795958
2,3-9818289
