score,document_id
14,3-6647356
14,3-7652193
12,3-6975810
10,3-5435531
10,3-7689938
10,3-7870258
10,3-8442582
8,3-5314052
8,3-5633670
8,3-6133739
6,20-24958
6,3-5626910
6,3-5634593
6,3-5691436
6,3-5764952
6,3-5772018
6,3-5772045
6,3-6133844
6,3-6268428
6,3-6723836
4,3-5097665
4,3-5148570
4,3-5195823
4,3-5215000
4,3-5225597
4,3-5311712
4,3-5352621
4,3-5369800
4,3-5496705
4,3-5585701
4,3-5611486
4,3-5628412
4,3-5655617
4,3-5771472
4,3-5810377
4,3-5996348
4,3-5996350
4,3-6114112
4,3-6151411
4,3-6151700
4,3-6159737
4,3-6436255
4,3-6709385
4,3-7658070
2,20-118410
2,20-137756
2,20-24942
2,3-5112614
2,3-5114849
2,3-5117918
2,3-5129418
2,3-5129510
2,3-5131453
2,3-5133941
2,3-5134032
2,3-5137358
2,3-5137838
2,3-5142871
2,3-5142886
2,3-5143686
2,3-5143714
2,3-5146276
2,3-5146875
2,3-5149769
2,3-5150600
2,3-5150667
2,3-5150675
2,3-5154061
2,3-5154404
2,3-5154527
2,3-5156649
2,3-5156667
2,3-5156886
2,3-5160765
2,3-5162485
2,3-5174135
2,3-5194376
2,3-5196132
2,3-5215950
2,3-5217118
2,3-5217390
2,3-5217956
2,3-5218092
2,3-5218364
2,3-5218391
2,3-5252022
2,3-5313937
2,3-5318058
2,3-5336878
2,3-5342034
2,3-5345318
2,3-5345462
2,3-5345940
2,3-5347076
2,3-5347528
2,3-5350090
2,3-5362789
2,3-5379742
2,3-5435836
2,3-5486189
2,3-5502376
2,3-5527064
2,3-5530038
2,3-5539318
2,3-5582961
2,3-5585425
2,3-5587427
2,3-5619606
2,3-5622942
2,3-5628508
2,3-5631866
2,3-5631937
2,3-5647837
2,3-5682385
2,3-5693320
2,3-5709596
2,3-5743765
2,3-5744052
2,3-5744300
2,3-5744881
2,3-5744888
2,3-5746280
2,3-5746337
2,3-5746391
2,3-5746676
2,3-5746995
2,3-5747040
2,3-5747629
2,3-5748685
2,3-5751816
2,3-5752309
2,3-5754697
2,3-5755551
2,3-5757118
2,3-5764118
2,3-5781666
2,3-5783853
2,3-5784282
2,3-5820936
2,3-5830354
2,3-5899093
2,3-5920335
2,3-5922208
2,3-6014427
2,3-6015139
2,3-6121701
2,3-6151859
2,3-6285608
2,3-6632814
2,3-6635114
2,3-6636130
2,3-6640677
2,3-6776585
2,3-6998611
2,3-7002669
2,3-7063027
2,3-7066305
2,3-7167427
2,3-7283136
2,3-7307918
2,3-7385608
2,3-7657664
2,3-7672529
2,3-7678849
2,3-7726284
2,3-7850219
2,3-7888658
2,3-7888908
2,3-7938925
2,3-8715750
