Column1;Name;Querylist
0;Olli-Pekka Heinonen;['Olli-Pekka Heinos*', 'Olli-Pekka Heinonen*']
1;Jyrki Katainen;['Jyrki Katais*', 'Jyrki Katainen*']
2;Jari Koskinen;['Jari Koskis*', 'Jari Koskinen*']
3;Sirpa Pietikäinen;['Sirpa Pietikäis*', 'Sirpa Pietikäinen*']
4;Riitta Uosukainen;['Riitta Uosukais*', 'Riitta Uosukainen*']
5;Marjaana Koskinen;['Marjaana Koskis*', 'Marjaana Koskinen*']
6;Pekka Kuosmanen;['Pekka Kuosmas*', 'Pekka Kuosmanen*']
7;Esko Kurvinen;['Esko Kurvis*', 'Esko Kurvinen*']
8;Kari Kantalainen;['Kari Kantalais*', 'Kari Kantalainen*']
9;Marjukka Karttunen;['Marjukka Karttus*', 'Marjukka Karttunen*']
10;Paula Kokkonen;['Paula Kokkos*', 'Paula Kokkonen*']
11;Riitta Korhonen;['Riitta Korhos*', 'Riitta Korhonen*']
12;Olli Nepponen;['Olli Neppos*', 'Olli Nepponen*']
13;Irja Tulonen;['Irja Tulos*', 'Irja Tulonen*']
14;Jouko Jääskeläinen;['Jouko Jääskeläis*', 'Jouko Jääskeläinen*']
15;Päivi Räsänen;['Päivi Räsäs*', 'Päivi Räsänen*']
16;Leea Hiltunen;['Leea Hiltus*', 'Leea Hiltunen*']
17;Marja-Leena Kemppainen;['Marja-Leena Kemppais*', 'Marja-Leena Kemppainen*']
18;Kari Kärkkäinen;['Kari Kärkkäis*', 'Kari Kärkkäinen*']
19;Margareta Pietikäinen;['Margareta Pietikäis*', 'Margareta Pietikäinen*']
20;Martti Korhonen;['Martti Korhos*', 'Martti Korhonen*']
21;Pentti Tiusanen;['Pentti Tiusas*', 'Pentti Tiusanen*']
22;Marjatta Stenius-Kaukonen;['Marjatta Stenius-Kaukos*', 'Marjatta Stenius-Kaukonen*']
23;Mikko Immonen;['Mikko Immos*', 'Mikko Immonen*']
24;Katja Syvärinen;['Katja Syväris*', 'Katja Syvärinen*']
25;Jorma Vokkolainen;['Jorma Vokkolais*', 'Jorma Vokkolainen*']
26;Marja-Liisa Tykkyläinen;['Marja-Liisa Tykkyläis*', 'Marja-Liisa Tykkyläinen*']
27;Pertti Turtiainen;['Pertti Turtiais*', 'Pertti Turtiainen*']
28;Erkki Pulliainen;['Erkki Pulliais*', 'Erkki Pulliainen*']
29;Paavo Väyrynen;['Paavo Väyrys*', 'Paavo Väyrynen*']
30;Seppo Kääriäinen;['Seppo Kääriäis*', 'Seppo Kääriäinen*']
31;Hannes Manninen;['Hannes Mannis*', 'Hannes Manninen*']
32;Mauri Pekkarinen;['Mauri Pekkaris*', 'Mauri Pekkarinen*']
33;Matti Vanhanen;['Matti Vanhas*', 'Matti Vanhanen*']
34;Anu Vehviläinen;['Anu Vehviläis*', 'Anu Vehviläinen*']
35;Jorma Huuhtanen;['Jorma Huuhtas*', 'Jorma Huuhtanen*']
36;Niilo Keränen;['Niilo Keräs*', 'Niilo Keränen*']
37;Markku Laukkanen;['Markku Laukkas*', 'Markku Laukkanen*']
38;Frans Leppänen;['Frans Leppäs*', 'Frans Leppänen*']
39;Pekka Nousiainen;['Pekka Nousiais*', 'Pekka Nousiainen*']
40;Lauri Oinonen;['Lauri Oinos*', 'Lauri Oinonen*']
41;Mirja Ryynänen;['Mirja Ryynäs*', 'Mirja Ryynänen*']
42;Jaana Ylä-Mononen;['Jaana Ylä-Monos*', 'Jaana Ylä-Mononen*']
43;Tuula Haatainen;['Tuula Haatais*', 'Tuula Haatainen*']
44;Tarja Halonen;['Tarja Halos*', 'Tarja Halonen*']
45;Rakel Hiltunen;['Rakel Hiltus*', 'Rakel Hiltunen*']
46;Lauri Kähkönen;['Lauri Kähkös*', 'Lauri Kähkönen*']
47;Kimmo Kiljunen;['Kimmo Kiljus*', 'Kimmo Kiljunen*']
48;Antero Kekkonen;['Antero Kekkos*', 'Antero Kekkonen*']
49;Johannes Koskinen;['Johannes Koskis*', 'Johannes Koskinen*']
50;Paavo Lipponen;['Paavo Lippos*', 'Paavo Lipponen*']
51;Pia Viitanen;['Pia Viitas*', 'Pia Viitanen*']
52;Kari Urpilainen;['Kari Urpilais*', 'Kari Urpilainen*']
53;Susanna Huovinen;['Susanna Huovis*', 'Susanna Huovinen*']
54;Tapio Karjalainen;['Tapio Karjalais*', 'Tapio Karjalainen*']
55;Reijo Laitinen;['Reijo Laitis*', 'Reijo Laitinen*']
56;Leena Luhtanen;['Leena Luhtas*', 'Leena Luhtanen*']
57;Raimo Mähönen;['Raimo Mähös*', 'Raimo Mähönen*']
58;Susanna Rahkonen;['Susanna Rahkos*', 'Susanna Rahkonen*']
59;Matti Saarinen;['Matti Saaris*', 'Matti Saarinen*']
60;Säde Tahvanainen;['Säde Tahvanais*', 'Säde Tahvanainen*']
61;Esko Ahonen;['Esko Ahos*', 'Esko Ahonen*']
62;Hannu Hoskonen;['Hannu Hoskos*', 'Hannu Hoskonen*']
63;Sinikka Hurskainen;['Sinikka Hurskais*', 'Sinikka Hurskainen*']
64;Tuomo Hänninen;['Tuomo Hännis*', 'Tuomo Hänninen*']
65;Antti Kaikkonen;['Antti Kaikkos*', 'Antti Kaikkonen*']
66;Tatja Karvonen;['Tatja Karvos*', 'Tatja Karvonen*']
67;Rauno Kettunen;['Rauno Kettus*', 'Rauno Kettunen*']
68;Anneli Kiljunen;['Anneli Kiljus*', 'Anneli Kiljunen*']
69;Kalevi Lamminen;['Kalevi Lammis*', 'Kalevi Lamminen*']
70;Minna Lintonen;['Minna Lintos*', 'Minna Lintonen*']
71;Rosa Meriläinen;['Rosa Meriläis*', 'Rosa Meriläinen*']
72;Riikka Moilanen-Savolainen;['Riikka Moilanen-Savolais*', 'Riikka Moilanen-Savolainen*']
73;Tapani Mäkinen;['Tapani Mäkis*', 'Tapani Mäkinen*']
74;Reijo Paajanen;['Reijo Paajas*', 'Reijo Paajanen*']
75;Eero Reijonen;['Eero Reijos*', 'Eero Reijonen*']
76;Arto Satonen;['Arto Satos*', 'Arto Satonen*']
77;Kimmo Tiilikainen;['Kimmo Tiilikais*', 'Kimmo Tiilikainen*']
78;Oras Tynkkynen;['Oras Tynkkys*', 'Oras Tynkkynen*']
79;Jutta Urpilainen;['Jutta Urpilais*', 'Jutta Urpilainen*']
80;Erkki Virtanen;['Erkki Virtas*', 'Erkki Virtanen*']
81;Tuula Väätäinen;['Tuula Väätäis*', 'Tuula Väätäinen*']
82;Hannakaisa Heikkinen;['Hannakaisa Heikkis*', 'Hannakaisa Heikkinen*']
83;Timo Heinonen;['Timo Heinos*', 'Timo Heinonen*']
84;Kalle Jokinen;['Kalle Jokis*', 'Kalle Jokinen*']
85;Heli Järvinen;['Heli Järvis*', 'Heli Järvinen*']
86;Pietari Jääskeläinen;['Pietari Jääskeläis*', 'Pietari Jääskeläinen*']
87;Elsi Katainen;['Elsi Katais*', 'Elsi Katainen*']
88;Timo Korhonen;['Timo Korhos*', 'Timo Korhonen*']
89;Merja Kyllönen;['Merja Kyllös*', 'Merja Kyllönen*']
90;Päivi Lipponen;['Päivi Lippos*', 'Päivi Lipponen*']
91;Markku Pakkanen;['Markku Pakkas*', 'Markku Pakkanen*']
92;Tuula Peltonen;['Tuula Peltos*', 'Tuula Peltonen*']
93;Raimo Piirainen;['Raimo Piirais*', 'Raimo Piirainen*']
94;Pertti Salolainen;['Pertti Salolais*', 'Pertti Salolainen*']
95;Ilkka Viljanen;['Ilkka Viljas*', 'Ilkka Viljanen*']
96;Henna Virkkunen;['Henna Virkkus*', 'Henna Virkkunen*']
97;Anne-Mari Virolainen;['Anne-Mari Virolais*', 'Anne-Mari Virolainen*']
98;Pertti Virtanen;['Pertti Virtas*', 'Pertti Virtanen*']
99;Sanni Grahn-Laasonen;['Sanni Grahn-Laasos*', 'Sanni Grahn-Laasonen*']
100;Satu Haapanen;['Satu Haapas*', 'Satu Haapanen*']
101;Teuvo Hakkarainen;['Teuvo Hakkarais*', 'Teuvo Hakkarainen*']
102;Katja Hänninen;['Katja Hännis*', 'Katja Hänninen*']
103;Lauri Ihalainen;['Lauri Ihalais*', 'Lauri Ihalainen*']
104;Olli Immonen;['Olli Immos*', 'Olli Immonen*']
105;Ari Jalonen;['Ari Jalos*', 'Ari Jalonen*']
106;Arja Juvonen;['Arja Juvos*', 'Arja Juvonen*']
107;Pentti Kettunen;['Pentti Kettus*', 'Pentti Kettunen*']
108;Suna Kymäläinen;['Suna Kymäläis*', 'Suna Kymäläinen*']
109;Anne Louhelainen;['Anne Louhelais*', 'Anne Louhelainen*']
110;Merja Mäkisalo-Ropponen;['Merja Mäkisalo-Roppos*', 'Merja Mäkisalo-Ropponen*']
111;Pentti Oinonen;['Pentti Oinos*', 'Pentti Oinonen*']
112;Aino-Kaisa Pekonen;['Aino-Kaisa Pekos*', 'Aino-Kaisa Pekonen*']
113;Jaana Pelkonen;['Jaana Pelkos*', 'Jaana Pelkonen*']
114;Mika Raatikainen;['Mika Raatikais*', 'Mika Raatikainen*']
115;Kristiina Salonen;['Kristiina Salos*', 'Kristiina Salonen*']
116;Eila Tiainen;['Eila Tiais*', 'Eila Tiainen*']
117;Maria Tolppanen;['Maria Tolppas*', 'Maria Tolppanen*']
118;Kari Tolvanen;['Kari Tolvas*', 'Kari Tolvanen*']
119;Ari Torniainen;['Ari Torniais*', 'Ari Torniainen*']
120;Reijo Tossavainen;['Reijo Tossavais*', 'Reijo Tossavainen*']
121;Tytti Tuppurainen;['Tytti Tuppurais*', 'Tytti Tuppurainen*']
122;Kaj Turunen;['Kaj Turus*', 'Kaj Turunen*']
123;Kauko Tuupainen;['Kauko Tuupais*', 'Kauko Tuupainen*']
124;Anu Urpalainen;['Anu Urpalais*', 'Anu Urpalainen*']
125;Juha Väätäinen;['Juha Väätäis*', 'Juha Väätäinen*']
126;Pertti Hakanen;['Pertti Hakas*', 'Pertti Hakanen*']
127;Petri Honkonen;['Petri Honkos*', 'Petri Honkonen*']
128;Antti Häkkänen;['Antti Häkkäs*', 'Antti Häkkänen*']
129;Hanna Kosonen;['Hanna Kosos*', 'Hanna Kosonen*']
130;Antti Kurvinen;['Antti Kurvis*', 'Antti Kurvinen*']
131;Antero Laukkanen;['Antero Laukkas*', 'Antero Laukkanen*']
132;Krista Mikkonen;['Krista Mikkos*', 'Krista Mikkonen*']
133;Kai Mykkänen;['Kai Mykkäs*', 'Kai Mykkänen*']
134;Riitta Mäkinen;['Riitta Mäkis*', 'Riitta Mäkinen*']
135;Ilmari Nurminen;['Ilmari Nurmis*', 'Ilmari Nurminen*']
136;Olli-Poika Parviainen;['Olli-Poika Parviais*', 'Olli-Poika Parviainen*']
137;Ulla Parviainen;['Ulla Parviais*', 'Ulla Parviainen*']
138;Jari Ronkainen;['Jari Ronkais*', 'Jari Ronkainen*']
139;Joona Räsänen;['Joona Räsäs*', 'Joona Räsänen*']
140;Hanna Sarkkinen;['Hanna Sarkkis*', 'Hanna Sarkkinen*']
141;Satu Taavitsainen;['Satu Taavitsais*', 'Satu Taavitsainen*']
142;Matti Torvinen;['Matti Torvis*', 'Matti Torvinen*']
143;Juhana Vartiainen;['Juhana Vartiais*', 'Juhana Vartiainen*']
144;Eerikki Viljanen;['Eerikki Viljas*', 'Eerikki Viljanen*']
145;Sauli Niinistö;['Sauli Niinistö*', 'Sauli Niinistö']
146;Ismo Seivästö;['Ismo Seivästö*', 'Ismo Seivästö']
147;Matti Väistö;['Matti Väistö*', 'Matti Väistö']
148;Minna Sirnö;['Minna Sirnö*', 'Minna Sirnö']
149;Ville Niinistö;['Ville Niinistö*', 'Ville Niinistö']
150;Sanna Perkiö;['Sanna Perkiö*', 'Sanna Perkiö']
151;Lasse Männistö;['Lasse Männistö*', 'Lasse Männistö']
152;Jussi Niinistö;['Jussi Niinistö*', 'Jussi Niinistö']
153;Kirsi Ojansuu;['Kirsi Ojansuu*', 'Kirsi Ojansuu']
154;Saara Karhu;['Saara Karhu*', 'Saara Karhu']
155;Krista Kiuru;['Krista Kiuru*', 'Krista Kiuru']
156;Pauli Kiuru;['Pauli Kiuru*', 'Pauli Kiuru']
157;Kalervo Kummola;['Kalervo Kummola*', 'Kalervo Kummola']
158;Seppo Kanerva;['Seppo Kanerva*', 'Seppo Kanerva']
159;Ilkka Kanerva;['Ilkka Kanerva*', 'Ilkka Kanerva']
160;Pertti Mäki-Hakola;['Pertti Mäki-Hakola*', 'Pertti Mäki-Hakola']
161;Kirsi Piha;['Kirsi Piha*', 'Kirsi Piha']
162;Marja Tiura;['Marja Tiura*', 'Marja Tiura']
163;Sari Sarkomaa;['Sari Sarkomaa*', 'Sari Sarkomaa']
164;Markku Markkula;['Markku Markkula*', 'Markku Markkula']
165;Leena Rauhala;['Leena Rauhala*', 'Leena Rauhala']
166;Raimo Vistbacka;['Raimo Vistbacka*', 'Raimo Vistbacka']
167;Outi Ojala;['Outi Ojala*', 'Outi Ojala']
168;Matti Huutola;['Matti Huutola*', 'Matti Huutola']
169;Kari Uotila;['Kari Uotila*', 'Kari Uotila']
170;Osmo Soininvaara;['Osmo Soininvaara*', 'Osmo Soininvaara']
171;Ulla Anttila;['Ulla Anttila*', 'Ulla Anttila']
172;Sirkka-Liisa Anttila;['Sirkka-Liisa Anttila*', 'Sirkka-Liisa Anttila']
173;Maria Kaisa Aula;['Maria Kaisa Aula*', 'Maria Kaisa Aula']
174;Tytti Isohookana-Asunmaa;['Tytti Isohookana-Asunmaa*', 'Tytti Isohookana-Asunmaa']
175;Juha Korkeaoja;['Juha Korkeaoja*', 'Juha Korkeaoja']
176;Tanja Karpela;['Tanja Karpela*', 'Tanja Karpela']
177;Hannu Takkula;['Hannu Takkula*', 'Hannu Takkula']
178;Seppo Lahtela;['Seppo Lahtela*', 'Seppo Lahtela']
179;Kyösti Karjula;['Kyösti Karjula*', 'Kyösti Karjula']
180;Inkeri Kerola;['Inkeri Kerola*', 'Inkeri Kerola']
181;Timo Korva;['Timo Korva*', 'Timo Korva']
182;Juha Rehula;['Juha Rehula*', 'Juha Rehula']
183;Pekka Vilkuna;['Pekka Vilkuna*', 'Pekka Vilkuna']
